Z	N	sc
29	24	-0.1606238855212041
18	36	3.221059494380256
19	35	3.489945911345785
20	34	2.324621696294571
21	33	3.000726296354742
22	32	0.8395214481757876
23	31	0.47803589449540596
24	30	-0.1596259390414616
25	29	-1.4370008122725721
26	28	-2.7852155890265067
27	27	-4.8276973282754625
28	26	-2.7852155890265067
29	25	-1.4370008122725721
30	24	-0.1596259390414616
19	36	3.4686645367398796
20	35	3.4686645367398796
21	34	2.9824353949045417
22	33	2.9824353949045417
23	32	0.475115376551571
24	31	0.475115376551571
25	30	-1.4282404420761168
26	29	-1.4282404420761168
27	28	-4.798263630964584
28	27	-4.798263630964584
29	26	-1.4282404420761168
30	25	-1.4282404420761168
19	37	3.7971990070104766
20	36	3.44789291362963
21	35	4.116380121698512
22	34	2.964582653268053
23	33	2.603288822730974
24	32	0.47226478378627235
25	31	-0.8473110135835213
26	30	-1.4196899201092492
27	29	-3.5383954885926414
28	28	-4.769534984945267
29	27	-3.5383954885926414
30	26	-1.4196899201092492
31	25	-0.8473110135835213
19	38	3.7748542333515616
20	37	3.7748542333515616
21	36	4.092176033668011
22	35	4.092176033668011
23	34	2.587972513903196
24	33	2.587972513903196
25	32	-0.8423350037360251
26	31	-0.8423350037360251
27	30	-3.5175828375165565
28	29	-3.5175828375165565
29	28	-3.5175828375165565
30	27	-3.5175828375165565
31	26	-0.8423350037360251
19	39	3.848409463005055
20	38	3.7530260813821315
21	37	4.426588351432201
22	36	4.068531654937715
23	35	3.7311549083490263
24	34	2.573010340527617
25	33	1.2278846384128883
26	32	-0.8374740937526894
27	31	-3.021264756172286
28	30	-3.497251431597988
29	29	-2.119356372976881
30	28	-3.497251431597988
31	27	-3.021264756172286
32	26	-0.8374740937526894
19	40	3.826534322480711
20	39	3.826534322480711
21	38	4.401444967984844
22	37	4.401444967984844
23	36	3.7099487676662193
24	35	3.7099487676662193
25	34	1.2209038855328345
26	33	1.2209038855328345
27	32	-3.0041067678064337
28	31	-3.0041067678064337
29	30	-2.107303462159507
30	29	-2.107303462159507
31	28	-3.0041067678064337
32	27	-3.0041067678064337
20	40	3.805147985921394
21	39	4.4746595145470565
22	38	4.376863510948624
23	37	4.065209956565695
24	36	3.6892164950718325
25	35	2.359237579974433
26	34	1.2140791133888342
27	33	-1.0316289855056766
28	32	-2.9873322554922197
29	31	-1.7479258408152418
30	30	-2.095519844072669
31	29	-1.7479258408152418
32	28	-2.9873322554922197
33	27	-1.0316289855056766
20	41	3.6303753370998493
21	40	4.450078060968053
22	39	4.450078060968053
23	38	4.042863255636576
24	37	4.042863255636576
25	36	2.3462684824521602
26	35	2.3462684824521602
27	34	-1.0259656695682224
28	33	-1.0259656695682224
29	32	-1.738315047614833
30	31	-1.738315047614833
31	30	-1.738315047614833
32	29	-1.738315047614833
33	28	-1.0259656695682224
21	41	4.274948107402679
22	40	4.426028141993129
23	39	4.113186341425944
24	38	4.020999695405408
25	37	2.713449542632816
26	36	2.3335797791714867
27	35	0.10855853080988709
28	34	-1.0204248318646023
29	33	0.07330475903563638
30	32	-1.7289120299942624
31	31	-1.2634954418347206
32	30	-1.7289120299942624
33	29	0.07330475903563638
21	42	4.252211924003859
22	41	4.252211924003859
23	40	4.091297193621585
24	39	4.091297193621585
25	38	2.6990070932297385
26	37	2.6990070932297385
27	36	0.10797353131056298
28	35	0.10797353131056298
29	34	0.07292448108682947
30	33	0.07292448108682947
31	32	-1.2567649570430603
32	31	-1.2567649570430603
33	30	0.07292448108682947
34	29	0.07292448108682947
22	42	4.229951922703549
23	41	3.917942951401301
24	40	4.069866425172904
25	39	2.7757387278359147
26	38	2.6848670723441046
27	37	0.48372067114132733
28	36	0.10740074910108888
29	35	1.176158692957415
30	34	0.07255221245031862
31	33	0.3737671605890682
32	32	-1.2501753820445174
33	31	0.3737671605890682
34	30	0.07255221245031862
22	43	3.45110536730499
23	42	3.8977370085874554
24	41	3.8977370085874554
25	40	2.761421675018937
26	39	2.761421675018937
27	38	0.4812154569167433
28	37	0.4812154569167433
29	36	1.1701041108199206
30	35	1.1701041108199206
31	34	0.3718458891419232
32	33	0.3718458891419232
33	32	0.3718458891419232
34	31	0.3718458891419232
35	30	1.1701041108199206
23	43	3.121046562846459
24	42	3.877941306174762
25	41	2.596893597569533
26	40	2.7473952933426062
27	39	0.568705132137211
28	38	0.4787610594412399
29	37	1.5195892713234116
30	36	1.1641725053268601
31	35	1.434308473984629
32	34	0.3699636539599851
33	33	2.178783003909075
34	32	0.3699636539599851
35	31	1.434308473984629
23	44	3.1054309833289153
24	43	3.1054309833289153
25	42	2.5839001981826186
26	41	2.5839001981826186
27	40	0.5658499190897146
28	39	0.5658499190897146
29	38	1.5119970422142615
30	37	1.5119970422142615
31	36	1.4271448364781918
32	35	1.4271448364781918
33	34	2.167899007173901
34	33	2.167899007173901
35	32	1.4271448364781918
36	31	1.4271448364781918
24	44	3.0901230648619276
25	43	1.8214920856351
26	42	2.571162796354429
27	41	0.4140393637012494
28	40	0.5630509181401067
29	39	1.593943654674149
30	38	1.5045544435952252
31	37	1.7675191007724607
32	36	1.4201223947011385
33	35	3.1932779686699178
34	34	2.1572295237433536
35	33	3.1932779686699178
36	32	1.4201223947011385
24	45	1.7567374243080849
25	44	1.812641137460787
26	43	1.812641137460787
27	42	0.4120179980068315
28	41	0.4120179980068315
29	40	1.586211314952152
30	39	1.586211314952152
31	38	1.758932174646361
32	37	1.758932174646361
33	36	3.17778564707487
34	35	3.17778564707487
35	34	3.17778564707487
36	33	3.17778564707487
24	46	1.7483220875815277
25	45	0.49191255504592846
26	44	1.8039595542597908
27	43	-0.33242677957287015
28	42	0.4100352723460219
29	41	1.4311736711035792
30	40	1.578626989444274
31	39	1.8433798485566513
32	38	1.7505095670935589
33	37	3.4390120930404464
34	36	3.1625898767106264
35	35	4.190571748955563
36	34	3.1625898767106264
25	46	0.4895837577405473
26	45	0.4895837577405473
27	44	-0.3308699879130472
28	43	-0.3308699879130472
29	42	1.4244278867899993
30	41	1.4244278867899993
31	40	1.8346754004257946
32	39	1.8346754004257946
33	38	3.4227975739379417
34	37	3.4227975739379417
35	36	4.170819248611906
36	35	4.170819248611906
37	34	3.4227975739379417
25	47	-1.3546741224715788
26	46	0.48729825415102823
27	45	-1.6291263264683948
28	44	-0.3293422059114164
29	43	0.682548692844648
30	42	1.4178076298514952
31	41	1.682383363161307
32	40	1.8261328609019074
33	39	3.4945856015272057
34	38	3.4068847587852815
35	37	4.384285019281833
36	36	4.151434307689442
37	35	4.384285019281833
25	48	-1.3484681394352265
26	47	-1.3484681394352265
27	46	-1.621664206146761
28	45	-1.621664206146761
29	44	0.6794224487373413
30	43	0.6794224487373413
31	42	1.6746554663236566
32	41	1.6746554663236566
33	40	3.4785621610831186
34	39	3.4785621610831186
35	38	4.3641794988636775
36	37	4.3641794988636775
37	36	4.3641794988636775
38	35	4.3641794988636775
26	48	-1.342374516593054
27	47	-3.439563341380108
28	46	-1.6143371931343609
29	45	-0.6116338739543608
30	44	0.6763528087212762
31	43	0.9268768337565234
32	42	1.6670674014217184
33	41	3.318081123374668
34	40	3.462828772629564
35	39	4.432366002745312
36	38	4.344437913023512
37	37	4.668650014654077
38	36	4.344437913023512
26	49	-3.669756803908058
27	48	-3.424218725007222
28	47	-3.424218725007222
29	46	-0.6088986502459193
30	45	-0.6088986502459193
31	44	0.9227339036560807
32	43	0.9227339036560807
33	42	3.3032748004854966
34	41	3.3032748004854966
35	40	4.412583507954423
36	39	4.412583507954423
37	38	4.6477987586974905
38	37	4.6477987586974905
39	36	4.412583507954423
26	50	-3.6535981893605367
27	49	-5.732232275393699
28	48	-3.4091445453359484
29	47	-2.4154069855117086
30	46	-0.606211607125033
31	45	-0.35782139579396244
32	44	0.9186639587533136
33	43	2.566601828535795
34	42	3.288729414116915
35	41	4.250158903718329
36	40	4.3931496315358345
37	39	4.697123041033137
38	38	4.627314897721362
39	37	4.697123041033137
27	50	-5.707319744202323
28	49	-5.707319744202323
29	48	-2.4049003726122464
30	47	-2.4049003726122464
31	46	-0.3562706930204058
32	45	-0.3562706930204058
33	44	2.555448893587254
34	43	2.555448893587254
35	42	4.231684312930611
36	41	4.231684312930611
37	40	4.676696596500733
38	39	4.676696596500733
39	38	4.676696596500733
40	37	4.676696596500733
27	51	-3.505227472374372
28	50	-5.682834943950411
29	49	-4.697772361746274
30	48	-2.3945741167628967
31	47	-2.148643728643492
32	46	-0.35474663147306273
33	45	1.278905143049542
34	44	2.5444874534989594
35	43	3.4986241058265932
36	42	4.213526907051801
37	41	4.51664740112642
38	40	4.656620812992514
39	39	4.746180585328148
40	38	4.656620812992514
28	51	-3.490385899695184
29	50	-4.677861546287659
30	49	-4.677861546287659
31	48	-2.1395439262232685
32	47	-2.1395439262232685
33	46	1.2734922300296603
34	45	1.2734922300296603
35	44	3.483802847590823
36	43	3.483802847590823
37	42	4.4975035944517
38	41	4.4975035944517
39	40	4.726063098564964
40	39	4.726063098564964
