Z	N	sc
19	34	-0.46395797299965125
20	33	1.8938359426476836
21	32	0.5991753899202195
22	31	0.775557535914686
23	30	-1.7053888910228352
24	29	-1.0044103828547577
25	28	-2.964610544365314
26	27	-3.4663899037606143
27	26	-3.393015554395106
28	25	-2.964610544365314
29	24	-1.3860851241305454
18	36	-0.19352795353256624
19	35	1.0981130917317614
20	34	2.235259055966935
21	33	1.6058198103227141
22	32	0.743881190116781
23	31	-0.41262772202310316
24	30	-2.0036425851972126
25	29	-2.8359256245622646
26	28	-2.7852155890265067
27	27	-4.840585453159747
28	26	-2.7852155890265067
29	25	-2.7493063619172062
30	24	-2.038560766895216
19	36	1.6028662393212016
20	35	3.0751975325476906
21	34	1.6421716159844664
22	33	1.596022728847629
23	32	-0.5876342518013189
24	31	-0.5876342518013189
25	30	-3.0403158135845842
26	29	-1.7481091748647941
27	28	-4.843278569058157
28	27	-4.820615597967617
29	26	-2.316502608026326
30	25	-3.0403158135845842
19	37	2.16591028590733
20	36	3.0567914189455223
21	35	2.405048835192474
22	34	1.4498334114707632
23	33	0.16364634990031846
24	32	-0.656975315088971
25	31	-1.665734264125831
26	30	-2.7940533683109834
27	29	-3.8110582445092405
28	28	-4.769534984945267
29	27	-3.8110582445092405
30	26	-2.9352208775759436
31	25	-1.686179643844298
19	38	2.1930637144464527
20	37	3.3381312553847238
21	36	2.372289455167447
22	35	2.173491776729634
23	34	0.1626772719512246
24	33	0.11969987427346496
25	32	-1.6762641159491523
26	31	-1.548597707228737
27	30	-3.7330072114459654
28	29	-3.620380722525624
29	28	-3.7215606045874665
30	27	-3.7391781352889666
31	26	-1.6100686982649677
19	39	3.1798861410943573
20	38	3.752788459538351
21	37	2.631776892728112
22	36	2.3585695109841254
23	35	0.9236280187303691
24	34	0.1258523102013669
25	33	-1.0338783036477253
26	32	-1.6059923025701437
27	31	-2.7325512020233873
28	30	-3.497251431597988
29	29	-2.8434582946733826
30	28	-3.497251431597988
31	27	-2.326730717303917
32	26	-1.6059923025701437
19	40	3.8869908936235333
20	39	3.826414134179686
21	38	3.295527226752256
22	37	2.61681493244987
23	36	0.9183739944182889
24	35	0.30533760078606065
25	34	-1.0280088265230916
26	33	-0.870179314329107
27	32	-2.531257785854905
28	31	-3.0041067678064337
29	30	-3.066100606734608
30	29	-3.066100606734608
31	28	-3.0041067678064337
32	27	-2.1814234041082727
20	40	3.8052852417692975
21	39	3.8836261960661886
22	38	4.257103216606083
23	37	1.639000483264681
24	36	0.31871417764614307
25	35	-0.7154183245156673
26	34	-0.8653201559873196
27	33	-1.4615417177042218
28	32	-2.9873322554922197
29	31	-2.0084310179117892
30	30	-3.1894723619891465
31	29	-2.0084310179117892
32	28	-2.8223668605205603
33	27	-1.2541445941237725
20	41	3.4328605789210087
21	40	4.3381733874134625
22	39	4.450078060968053
23	38	2.136441052330383
24	37	1.6299839846960822
25	36	-0.7114955065601407
26	35	-0.5396460625499913
27	34	-1.4456318118157014
28	33	-1.6299832785327908
29	32	-1.947834108280631
30	31	-1.8814114838160094
31	30	-1.8979277021328471
32	29	-1.947834108280631
33	28	-1.6026529260000189
21	41	3.581376602277487
22	40	4.426028141993129
23	39	4.00216412921236
24	38	2.124881975593098
25	37	0.6786023458826094
26	36	-0.3555072710250897
27	35	-0.8871588210840855
28	34	-1.621176452954387
29	33	-1.2870295849349986
30	32	-1.8657102434347053
31	31	-0.6402476304585889
32	30	-1.8899471719478242
33	29	-1.2870295849349986
21	42	3.8555640272136316
22	41	3.8555640272136316
23	40	3.980865055227696
24	39	4.091297193621585
25	38	1.130293624847809
26	37	0.8048982408815846
27	36	-0.690502851161682
28	35	-0.6801973616743453
29	34	-1.2801854425033525
30	33	-1.1646158893345273
31	32	-0.6368280599310765
32	31	-0.6368862283952694
33	30	-1.1646158893345273
34	29	-1.2885416600797726
22	42	4.229951922703549
23	41	3.28308142090782
24	40	4.069866425172904
25	39	2.461736179184527
26	38	1.4981929249070163
27	37	-0.5348596143744544
28	36	-0.6618245395770828
29	35	-0.4388823507199504
30	34	-1.154137429394268
31	33	-0.08305501258837467
32	32	-0.6326748453845994
33	31	-0.06975635523826895
34	30	-1.261565420682473
22	43	3.034729903574089
23	42	3.692913047027332
24	41	3.2661473150128586
25	40	2.761421675018937
26	39	2.761421675018937
27	38	0.41997591624590314
28	37	-0.22987503550803012
29	36	-0.5607257819765437
30	35	-0.9628313672965305
31	34	-0.08262228640842295
32	33	-0.23946465281733254
33	32	-0.23946465281733254
34	31	-0.23946465281733254
35	30	-1.7431756984401545
23	43	0.4188256448865104
24	42	3.877941306174762
25	41	2.090505219113993
26	40	2.7473952933426062
27	39	0.6648441644802006
28	38	0.4787610594412399
29	37	-0.25799075439681474
30	36	-1.221837717408107
31	35	-1.2711286604003362
32	34	-0.23824209737040292
33	33	-0.08300265678417418
34	32	-0.4782473052164278
35	31	-1.5389600570906623
23	44	0.05766944592301115
24	43	0.05766944592301115
25	42	2.383123689304739
26	41	2.080044317531474
27	40	0.6094326482550514
28	39	0.5658499190897146
29	38	0.4042186667504666
30	37	-0.7122676518793014
31	36	-1.1574402171265774
32	35	-1.458212203795938
33	34	-0.08258227211990743
34	33	-0.08258227211990743
35	32	-1.5312746664676524
36	31	-1.449959949476579
24	44	-0.018126691456018307
25	43	-0.6304624526824227
26	42	2.571162796354429
27	41	0.2344638338445293
28	40	0.5630509181401067
29	39	1.310412180244839
30	38	-0.3891341690248282
31	37	-0.04615763573974618
32	36	-1.4510369175091
33	35	-1.455477714907829
34	34	-0.34414105707423914
35	33	-1.5489878730111286
36	32	-1.6191184821275328
24	45	-0.45789366564554257
25	44	-0.9505626399918583
26	43	1.1191867301158709
27	42	0.23331536509886064
28	41	0.19300910841957375
29	40	1.537369265244024
30	39	1.537369265244024
31	38	0.2487521679022393
32	37	-0.6173686116921999
33	36	-1.5414779057164196
34	35	-1.6146258690555442
35	34	-1.6146258690555442
36	33	-1.7105966070200793
24	46	-0.4557090218122539
25	45	-1.38375253967547
26	44	-0.6124900710115071
27	43	-0.8101999141426859
28	42	0.4100352723460219
29	41	0.7257736344820387
30	40	1.578626989444274
31	39	0.15158603514828428
